*阿	ā
徵求	zhēngqiú
徵收	zhēngshōu
*整	zhěng
*整頓	zhěngdùn
*整個	zhěnggè
*整理	zhěnglĭ
整齊	zhěngqí
*整體	zhěngtĭ
*正	zhèng
*正常	zhèngcháng
*正當	zhèngdāng
*正當	zhèngdàng
正規	zhèngguī
*正好	zhènghăo
正面	zhèngmiàn
*正確	zhèngquè
*正式	zhèngshì
正義	zhèngyì
*正在	zhèngzài
政	zhèng
*政策	zhèngcè
*政黨	zhèngdăng
*政府	zhèngfŭ
*政權	zhèngquán
*政治	zhèngzhì
*症	zhèng
*症狀	zhèngzhuàng
掙	zhèng
鄭	Zhèng
*證	zhèng
證據	zhèngjù
*證明	zhèngmíng
*證實	zhèngshí
證書	zhèngshū
*之	zhī
*之後	zhīhòu
*之前	zhīqián
*支	zhī
支部	zhībù
支撐	zhīchēng
*支持	zhīchí
*支出	zhīchū
支隊	zhīduì
支付	zhīfù
*支配	zhīpèi
*支援	zhīyuán
*枝	zhī
枝葉	zhīyè
肢	zhī
汁	zhī
*知	zhī
*知道	zhī·dào
知覺	zhījué
*知識	zhī·shi
脂肪	zhīfáng
*隻	zhī
織	zhī
*直	zhí
直角	zhíjiăo
*直接	zhíjiē
*直徑	zhíjìng
直覺	zhíjué
直立	zhílì
直轄市	zhíxiáshì
*直線	zhíxiàn
直至	zhízhì
*值	zhí
*值得	zhí·dé
植	zhí
*植物	zhíwù
殖	zhí
殖民	zhímín
*殖民地	zhímíndì
*執行	zhíxíng
職	zhí
*職工	zhígōng
*職能	zhínéng
職權	zhíquán
*職務	zhíwù
*職業	zhíyè
職員	zhíyuán
職責	zhízé
止	zhĭ
*只	zhĭ
*只得	zhĭdé
只顧	zhĭgù
*只好	zhĭhăo
*只是	zhĭshì
*只要	zhĭyào
*只有	zhĭyŏu
*指	zhĭ
*指標	zhĭbiāo
*指導	zhĭdăo
指定	zhĭdìng
*指揮	zhĭhuī
指令	zhĭlìng
指明	zhĭmíng
指示	zhĭshì
指數	zhĭshù
指責	zhĭzé
*紙	zhĭ
至	zhì
至此	zhìcĭ
*至今	zhìjīn
*至少	zhìshăo
*至於	zhìyú
*致	zhì
致富	zhìfù
致使	zhìshĭ
*志	zhì
*制	zhì
*制定	zhìdìng
*制訂	zhìdìng
*制度	zhìdù
*制約	zhìyuē
制止	zhìzhĭ
製品	zhìpĭn
*製造	zhìzào
*製作	zhìzuò
*治	zhì
治安	zhì'ān
治理	zhìlĭ
*治療	zhìliáo
*秩序	zhìxù
智	zhì
*智慧	zhìhuì
*智力	zhìlì
智能	zhìnéng
置	zhì
滯	zhì
*質	zhì
質變	zhìbiàn
*中	zhōng
中等	zhōngděng
中斷	zhōngduàn
中華	zhōnghuá
*中間	zhōngjiān
中年	zhōngnián
中期	zhōngqī
中世紀	zhōngshìjì
中樞	zhōngshū
中外	zhōngwài
中午	zhōngwŭ
*中心	zhōngxīn
中性	zhōngxìng
*中學	zhōngxué
中學生	zhōngxuéshēng
中旬	zhōngxún
*中央	zhōngyāng
中葉	zhōngyè
中醫	zhōngyī
中原	zhōngyuán
忠誠	zhōngchéng
忠實	zhōngshí
*終	zhōng
終究	zhōngjiū
終年	zhōngnián
終身	zhōngshēn
*終於	zhōngyú
*鐘	zhōng
鐘頭	zhōngtóu
腫	zhŏng
腫瘤	zhŏngliú
*種	zhŏng
*種類	zhŏnglèi
*種子	zhŏng·zi
種族	zhŏngzú
*中	zhòng
中毒	zhòngdú
*重	zhòng
*重大	zhòngdà
*重點	zhòngdiăn
*重力	zhònglì
*重量	zhòngliàng
*重視	zhòngshì
*重要	zhòngyào
*種	zhòng
*種植	zhòngzhí
*眾	zhòng
*眾多	zhòngduō
眾人	zhòngrén
*州	zhōu
*周	zhōu
*周圍	zhōuwéi
周轉	zhōuzhuăn
週年	zhōunián
*週期	zhōuqī
*軸	zhóu
晝夜	zhòuyè
皺	zhòu
朱	zhū
*株	zhū
珠	zhū
*諸	zhū
諸如	zhūrú
*豬	zhū
*竹	zhú
逐	zhú
*逐步	zhúbù
*逐漸	zhújiàn
逐年	zhúnián
*主	zhŭ
主編	zhŭbiān
*主持	zhŭchí
*主導	zhŭdăo
*主動	zhŭdòng
*主觀	zhŭguān
主管	zhŭguăn
主教	zhŭjiào
主力	zhŭlì
主權	zhŭquán
*主人	zhŭ·rén
主人公	zhŭréngōng
*主任	zhŭrèn
*主題	zhŭtí
*主體	zhŭtĭ
*主席	zhŭxí
*主要	zhŭyào
*主義	zhŭyì
*主意	zhŭ·yi(zhú·yi)
*主張	zhŭzhāng
煮	zhŭ
*屬	zhŭ
囑咐	zhŭ·fù
*住	zhù
住房	zhùfáng
住宅	zhùzhái
注	zhù
注射	zhùshè
注視	zhùshì
*注意	zhùyì
注重	zhùzhòng
*柱	zhù
*駐	zhù
助	zhù
助手	zhùshŏu
祝	zhù
祝賀	zhùhè
著	zhù
*著名	zhùmíng
*著作	zhùzuò
貯藏	zhùcáng
貯存	zhùcún
築	zhù
*抓	zhuā
抓緊	zhuājĭn
*專	zhuān
*專家	zhuānjiā
專利	zhuānlì
*專門	zhuānmén
專題	zhuāntí
*專業	zhuānyè
專用	zhuānyòng
*專政	zhuānzhèng
專制	zhuānzhì
磚	zhuān
*轉	zhuăn
*轉變	zhuănbiàn
*轉動	zhuăndòng
*轉化	zhuănhuà
*轉換	zhuănhuàn
*轉身	zhuănshēn
*轉向	zhuănxiàng
*轉移	zhuănyí
*傳	zhuàn
*轉	zhuàn
*轉動	zhuàndòng
*轉向	zhuànxiàng
賺	zhuàn
莊	zhuāng
莊稼	zhuāng·jia
莊嚴	zhuāngyán
*裝	zhuāng
裝備	zhuāngbèi
裝飾	zhuāngshì
*裝置	zhuāngzhì
樁	zhuāng
壯	zhuàng
壯大	zhuàngdà
*狀	zhuàng
*狀況	zhuàngkuàng
*狀態	zhuàngtài
撞	zhuàng
幢	zhuàng
*追	zhuī
追究	zhuījiū
*追求	zhuīqiú
追逐	zhuīzhú
*準	zhŭn
*準備	zhŭnbèi
*準確	zhŭnquè
準則	zhŭnzé
*捉	zhuō
桌	zhuō
*桌子	zhuō·zi
*著	zhuó
著手	zhuóshŏu
*著重	zhuózhòng
卓越	zhuóyuè
琢磨	zhuómó
咨詢	zīxún
姿勢	zīshì
*姿態	zītài
資	zī
*資本	zīběn
資產	zīchăn
*資格	zī·gé
*資金	zījīn
*資料	zīliào
*資源	zīyuán
滋味	zīwèi
*子	zĭ
子彈	zĭdàn
子弟	zĭdì
子宮	zĭgōng
*子女	zĭnǚ
子孫	zĭsūn
*仔細	zĭxì
姊妹	zĭmèi
紫	zĭ
*自	zì
自稱	zìchēng
*自從	zìcóng
*自動	zìdòng
自動化	zìdònghuà
自發	zìfā
自豪	zìháo
*自己	zìjĭ
*自覺	zìjué
自力更生	zìlìgēngshēng
*自然	zìrán
*自然界	zìránjiè
自殺	zìshā
*自身	zìshēn
自衛	zìwèi
*自我	zìwŏ
自信	zìxìn
自行	zìxíng
自行車	zìxíngchē
*自由	zìyóu
自願	zìyuàn
自在	zìzài
自在	zì·zai
自治	zìzhì
*自治區	zìzhìqū
自主	zìzhŭ
自轉	zìzhuàn
*字	zì
字母	zìmŭ
宗	zōng
*宗教	zōngjiào
宗旨	zōngzhĭ
*綜合	zōnghé
*總	zŏng
總額	zŏng'é
總和	zŏnghé
*總結	zŏngjié
*總理	zŏnglĭ
總數	zŏngshù
總算	zŏngsuàn
*總體	zŏngtĭ
*總統	zŏngtŏng
*總之	zŏngzhī
縱	zòng
縱隊	zòngduì
*走	zŏu
走廊	zŏuláng
*走向	zŏuxiàng
奏	zòu
租	zū
租界	zūjiè
*足	zú
*足夠	zúgòu
足球	zúqiú
*足以	zúyĭ
*族	zú
阻	zŭ
*阻礙	zŭ'ài
阻力	zŭlì
阻止	zŭzhĭ
祖	zŭ
祖父	zŭfù
*祖國	zŭguó
祖母	zŭmŭ
*祖先	zŭxiān
祖宗	zŭ·zong
*組	zŭ
*組合	zŭhé
*組織	zŭzhī
*鑽	zuān
鑽研	zuānyán
*鑽	zuàn
*嘴	zuĭ
嘴巴	zuĭ·ba
*嘴唇	zuĭchún
*最	zuì
*最初	zuìchū
*最後	zuìhòu
*最近	zuìjìn
*最為	zuìwéi
*最終	zuìzhōng
*罪	zuì
罪惡	zuì'è
罪犯	zuìfàn
罪行	zuìxíng
醉	zuì
尊	zūn
尊敬	zūnjìng
尊嚴	zūnyán
*尊重	zūnzhòng
*遵守	zūnshŏu
*遵循	zūnxún
*昨天	zuótiān
琢磨	zuó·mo
*左	zuŏ
左邊	zuŏ·biān
左手	zuŏshŏu
*左右	zuŏyòu
*作	zuò
作法	zuòfă
*作風	zuòfēng
*作家	zuòjiā
*作品	zuòpĭn
*作為	zuòwéi
*作物	zuòwù
*作業	zuòyè
*作用	zuòyòng
*作戰	zuòzhàn
*作者	zuòzhě
*坐	zuò
*座	zuò
座位	zuòwèi
*做	zuò
*做法	zuòfă
做夢	zuòmèng
